Source,Target,Type,Id,Label,timeset,Weight
3,6,Undirected,0,,,30
3,7,Undirected,1,,,2
3,8,Undirected,2,,,2
3,10,Undirected,3,,,5
3,11,Undirected,4,,,3
3,14,Undirected,5,,,19
3,15,Undirected,6,,,2
3,16,Undirected,7,,,5
3,18,Undirected,8,,,2
3,21,Undirected,9,,,3
3,22,Undirected,10,,,2
3,24,Undirected,11,,,4
3,25,Undirected,12,,,3
3,26,Undirected,13,,,3
3,27,Undirected,14,,,2
3,28,Undirected,15,,,3
3,32,Undirected,16,,,3
3,33,Undirected,17,,,2
3,34,Undirected,18,,,2
3,38,Undirected,19,,,2
3,42,Undirected,20,,,3
3,43,Undirected,21,,,2
3,46,Undirected,22,,,2
3,51,Undirected,23,,,2
3,52,Undirected,24,,,3
3,53,Undirected,25,,,2
3,54,Undirected,26,,,2
3,55,Undirected,27,,,4
3,56,Undirected,28,,,2
3,57,Undirected,29,,,3
3,58,Undirected,30,,,2
3,60,Undirected,31,,,2
3,62,Undirected,32,,,2
3,63,Undirected,33,,,2
3,64,Undirected,34,,,2
3,65,Undirected,35,,,2
3,66,Undirected,36,,,2
3,67,Undirected,37,,,3
3,72,Undirected,38,,,2
3,77,Undirected,39,,,2
3,88,Undirected,40,,,2
3,90,Undirected,41,,,2
3,92,Undirected,42,,,3
3,94,Undirected,43,,,2
3,109,Undirected,44,,,2
3,115,Undirected,45,,,1
3,117,Undirected,46,,,3
3,125,Undirected,47,,,1
3,137,Undirected,48,,,3
3,148,Undirected,49,,,2
3,153,Undirected,50,,,3
3,159,Undirected,51,,,2
3,166,Undirected,52,,,2
3,201,Undirected,53,,,3
3,202,Undirected,54,,,2
3,242,Undirected,56,,,2
3,247,Undirected,57,,,2
3,291,Undirected,58,,,2
3,292,Undirected,59,,,2
3,392,Undirected,60,,,2
3,395,Undirected,61,,,2
3,3,Undirected,63,,,1
6,14,Undirected,68,,,15
6,20,Undirected,69,,,1
6,21,Undirected,70,,,5
6,22,Undirected,71,,,2
6,26,Undirected,72,,,2
6,27,Undirected,73,,,2
6,28,Undirected,74,,,2
6,32,Undirected,75,,,1
6,33,Undirected,76,,,2
6,34,Undirected,77,,,3
6,37,Undirected,78,,,2
6,38,Undirected,79,,,3
6,40,Undirected,80,,,2
6,42,Undirected,81,,,3
6,43,Undirected,82,,,2
6,46,Undirected,83,,,2
6,53,Undirected,84,,,2
6,54,Undirected,85,,,2
6,55,Undirected,86,,,3
6,56,Undirected,87,,,2
6,57,Undirected,88,,,2
6,58,Undirected,89,,,2
6,60,Undirected,90,,,6
6,64,Undirected,91,,,2
6,65,Undirected,92,,,2
6,66,Undirected,93,,,1
6,72,Undirected,94,,,2
6,85,Undirected,95,,,2
6,88,Undirected,96,,,1
6,90,Undirected,97,,,3
6,94,Undirected,98,,,2
6,153,Undirected,99,,,2
6,200,Undirected,100,,,1
6,204,Undirected,101,,,2
6,223,Undirected,102,,,2
6,265,Undirected,103,,,2
6,378,Undirected,104,,,2
6,394,Undirected,105,,,2
6,6,Undirected,107,,,1
3,9,Undirected,118,,,5
9,30,Undirected,120,,,3
9,43,Undirected,121,,,1
9,52,Undirected,122,,,2
9,67,Undirected,123,,,2
9,167,Undirected,124,,,2
9,9,Undirected,126,,,1
10,57,Undirected,129,,,2
10,62,Undirected,130,,,2
10,109,Undirected,131,,,2
10,10,Undirected,133,,,1
11,11,Undirected,137,,,1
6,12,Undirected,143,,,1
13,13,Undirected,147,,,1
14,19,Undirected,150,,,1
14,22,Undirected,151,,,1
14,24,Undirected,152,,,3
14,25,Undirected,153,,,2
14,30,Undirected,154,,,6
14,35,Undirected,155,,,2
14,42,Undirected,156,,,2
14,46,Undirected,157,,,3
14,53,Undirected,158,,,2
14,56,Undirected,159,,,1
14,58,Undirected,160,,,1
14,60,Undirected,161,,,3
14,63,Undirected,162,,,1
14,67,Undirected,163,,,2
14,72,Undirected,164,,,2
14,73,Undirected,165,,,1
14,74,Undirected,166,,,2
14,75,Undirected,167,,,6
14,77,Undirected,168,,,1
14,83,Undirected,169,,,2
14,85,Undirected,170,,,2
14,90,Undirected,171,,,2
14,93,Undirected,172,,,2
14,94,Undirected,173,,,2
14,95,Undirected,174,,,2
14,109,Undirected,175,,,1
14,137,Undirected,176,,,2
14,149,Undirected,177,,,1
14,154,Undirected,178,,,4
14,161,Undirected,179,,,1
14,166,Undirected,180,,,3
14,173,Undirected,181,,,1
14,192,Undirected,182,,,1
14,201,Undirected,183,,,1
14,202,Undirected,184,,,2
14,223,Undirected,186,,,1
14,242,Undirected,187,,,1
14,247,Undirected,188,,,2
14,290,Undirected,189,,,1
14,291,Undirected,190,,,3
14,292,Undirected,191,,,1
14,297,Undirected,192,,,2
14,298,Undirected,193,,,2
14,302,Undirected,194,,,1
14,315,Undirected,195,,,2
14,350,Undirected,196,,,2
14,391,Undirected,197,,,2
14,14,Undirected,199,,,1
6,15,Undirected,204,,,2
6,30,Undirected,205,,,2
15,54,Undirected,206,,,2
15,15,Undirected,208,,,1
3,29,Undirected,210,,,1
16,51,Undirected,211,,,2
16,393,Undirected,212,,,1
16,16,Undirected,214,,,1
9,14,Undirected,219,,,2
9,16,Undirected,220,,,1
14,18,Undirected,222,,,1
10,19,Undirected,226,,,1
14,20,Undirected,230,,,1
21,53,Undirected,233,,,1
21,54,Undirected,234,,,3
21,55,Undirected,235,,,2
21,60,Undirected,236,,,2
21,65,Undirected,237,,,2
21,21,Undirected,239,,,1
6,11,Undirected,244,,,1
11,22,Undirected,246,,,1
11,60,Undirected,247,,,1
22,22,Undirected,249,,,1
14,23,Undirected,257,,,1
24,31,Undirected,260,,,3
24,35,Undirected,261,,,1
24,52,Undirected,262,,,3
24,67,Undirected,263,,,2
24,69,Undirected,264,,,1
24,100,Undirected,265,,,1
24,117,Undirected,266,,,2
24,24,Undirected,268,,,1
14,54,Undirected,272,,,1
25,60,Undirected,273,,,2
25,67,Undirected,274,,,2
25,25,Undirected,276,,,1
14,26,Undirected,279,,,5
26,54,Undirected,281,,,2
26,55,Undirected,282,,,3
26,60,Undirected,283,,,2
26,64,Undirected,284,,,2
26,65,Undirected,285,,,2
26,90,Undirected,286,,,2
26,94,Undirected,287,,,2
26,148,Undirected,288,,,1
26,26,Undirected,290,,,1
27,27,Undirected,298,,,1
6,93,Undirected,304,,,1
28,28,Undirected,306,,,1
6,29,Undirected,309,,,1
6,137,Undirected,310,,,1
29,16,Undirected,311,,,1
29,29,Undirected,312,,,1
16,30,Undirected,313,,,2
16,31,Undirected,314,,,1
30,51,Undirected,315,,,1
30,52,Undirected,316,,,3
30,67,Undirected,317,,,4
30,72,Undirected,318,,,2
30,75,Undirected,319,,,1
30,83,Undirected,320,,,2
30,93,Undirected,321,,,2
30,95,Undirected,322,,,2
30,167,Undirected,323,,,2
30,30,Undirected,325,,,1
9,13,Undirected,328,,,1
13,14,Undirected,330,,,1
13,30,Undirected,331,,,1
14,15,Undirected,332,,,1
15,21,Undirected,334,,,2
15,30,Undirected,335,,,1
